gene_symbol,fdr_bh_adj_p_primary,mean_transloc_primary,n_sg_primary,fdr_bh_adj_p_secondary_reporter,mean_transloc_secondary_reporter,n_sg_secondary_reporter,fdr_bh_adj_p_secondary_antibody,mean_transloc_secondary_antibody,n_sg_secondary_antibody
ACIN1,0.679668163919105,-0.01626837495269727,4.0,,,,,,
ACKR1,0.7787016079182767,-0.010362621407576166,4.0,,,,,,
ACKR2,0.7339683391817287,-0.003700064520515947,3.0,,,,,,
ACKR3,0.2702399324746461,-0.015475581359685787,4.0,,,,,,
ACKR4,0.44042686238282824,0.023004746049787132,4.0,,,,,,
ACLY,0.8158906025489016,0.013270478787878777,1.0,,,,,,
ACMSD,0.7689498402298012,0.009729235618655265,4.0,,,,,,
ACO1,0.10448284983105943,-0.011396643164775398,4.0,,,,,,
ACO2,0.9741697625354336,-0.000876950561797844,2.0,,,,,,
ACOD1,0.18992135406436425,-0.020463686711603275,2.0,,,,,,
ACOT1,0.2567767119139406,0.003926791188799461,4.0,,,,,,
ACOT11,0.03799915186636673,0.027136433401595328,3.0,0.06505521248596764,0.002592520221701975,6.0,0.8560267925556416,0.0018309105498627457,6.0
ACOT12,0.756258720080749,-0.01175601191136721,4.0,,,,,,
ACOT13,0.9237313943462536,-0.007524855731593706,3.0,,,,,,
ACOT2,0.3080763077113331,0.008052543766881552,4.0,,,,,,
ACOT4,0.33592340523605796,-0.017528152718079074,3.0,,,,,,
ACOT6,0.8158906025489016,-0.011217272716382178,4.0,,,,,,
ACOT7,0.4699385421968354,0.00708853041013392,4.0,,,,,,
ACOT8,0.8878070658174534,-0.010962611032046096,4.0,,,,,,
ACOT9,0.8861537978815106,-0.0028130097377566075,4.0,,,,,,
ACOX1,0.9822080901984448,-0.010782112177392273,4.0,,,,,,
ACOX2,0.06605508746658632,-0.021031282406536927,4.0,,,,,,
ACOX3,0.6920691458762062,0.011359516032501106,4.0,,,,,,
ACOXL,0.956518871420253,0.0007402166129709736,4.0,,,,,,
ACP1,0.7102934278058244,-0.002708043407092813,4.0,,,,,,
ACP2,0.917532071294729,0.0016487580056685736,4.0,,,,,,
ACP5,0.8536570036333775,-0.00452295557936713,4.0,,,,,,
ACP6,0.7611598204614116,0.016656517985088166,4.0,,,,,,
ACP7,0.9006840613949574,0.0078023317529299354,3.0,,,,,,
ACPP,0.8802444397651558,0.013502460456500918,4.0,,,,,,
ACPT,0.735609741697417,0.004052548697711098,4.0,,,,,,
ACR,0.7163033129537274,0.0038997965678571702,3.0,,,,,,
ACRBP,0.499052239338373,0.012867781464774712,4.0,,,,,,
ACRC,0.9003861243361483,-0.0023168333184207415,3.0,,,,,,
ACRV1,0.4979778065550317,0.01467021158870854,4.0,,,,,,
ACSBG1,0.6198032977293836,-0.015793000355552016,4.0,,,,,,
ACSBG2,0.17395203228888018,0.04171310702263737,4.0,,,,,,
ACSF2,0.5243991011598937,0.004540981597529844,4.0,,,,,,
