,gene_symbol,Plasmid,2dDox,7dDox,InSitu
102,ABL1,5.946705321945478e-05,4.2943373454210846e-05,4.595537308589851e-05,4.893678470615158e-05
103,ABL2,5.1334806625341296e-05,4.490360000473697e-05,5.312782665479445e-05,6.543762733346666e-05
104,ABLIM1,5.692572615879432e-05,5.831140759873544e-05,7.342087942775158e-05,5.3274149053902974e-05
105,ABLIM2,5.4511465451166874e-05,3.140410593344017e-05,3.754588964690629e-05,3.677330642658789e-05
106,ABLIM3,5.108067391927526e-05,4.95090160242141e-05,7.602915227686695e-05,7.043502538631066e-05
107,ABO,8.068713417596962e-05,6.803454083072477e-05,6.569416811992025e-05,5.57257028156755e-05
108,ABR,6.353317651651151e-05,7.866385803260742e-05,5.8764190326278916e-05,5.3085567995305084e-05
109,ABRA,4.904761227074689e-05,4.133799594163842e-05,5.1045860322055956e-05,6.694627580224975e-05
110,ABRACL,5.7306925217893385e-05,7.025435387644125e-05,8.345755658991448e-05,8.137272678498809e-05
111,ABRAXAS2,2.3507275311109258e-05,1.2963138620495682e-05,2.011233792666073e-05,1.734945739100557e-05
112,ABT1,4.726868332828456e-05,4.285293877137226e-05,4.240386759554809e-06,5.3745601700397685e-06
113,ABTB1,4.8158147799515725e-05,7.85563039363983e-05,3.827837579241422e-05,4.384509612400864e-05
114,ABTB2,5.5019730863298975e-05,6.703134402342543e-05,5.0215089822063564e-05,4.8371041530357923e-05
115,AC007431.1,1.6137426835193924e-05,1.3731526379502497e-05,4.446690237001057e-06,5.280269640740825e-06
116,ACAA1,2.9225261197595297e-05,2.443459560853259e-05,3.417578925702074e-05,4.5259454063492794e-05
117,ACAA2,4.6760417916152476e-05,4.4775270258636614e-05,6.197956763796544e-05,4.667381200297695e-05
118,ACACA,5.057240850714316e-05,6.505021415478994e-05,2.427770092419598e-05,2.4326956559127376e-05
119,ACACB,5.489266451026594e-05,6.423384212144241e-05,7.829768225814934e-05,8.024124043340076e-05
120,ACAD10,7.039475958029476e-05,6.107865670538114e-05,8.983079084397796e-05,8.391857107605955e-05
121,ACAD11,3.2783119082519935e-05,6.390947272411522e-05,3.6359993033388424e-05,4.09220897157414e-05
122,ACAD8,4.028003391146829e-05,3.4933700506694994e-05,6.234103771850888e-05,6.543762733346666e-05
123,ACAD9,4.282136097212876e-05,5.0129023027565864e-05,2.5249605532909373e-05,1.9801011152778095e-05
124,ACADL,5.4003200039034787e-05,6.059579053893661e-05,6.248803422094845e-05,6.194887774940576e-05
125,ACADM,4.015296755843527e-05,2.6126505186128187e-05,2.9221057820153742e-05,3.469891478201114e-05
126,ACADS,4.218602920696364e-05,3.1983907039420625e-05,3.853449817221127e-05,4.8182460471760034e-05
127,ACADSB,6.658276898930406e-05,8.423321979638556e-05,7.692062358069036e-05,7.55267139684536e-05
128,ACADVL,4.4092024502458985e-05,3.0365813483901123e-05,4.0421028737206006e-05,5.0445433174934665e-05
129,ACAN,4.8920545917713866e-05,4.522641054563422e-05,4.358726631123826e-05,5.402847328829451e-05
130,ACAP1,4.6379218857053395e-05,4.4610447142558116e-05,4.4863419261886236e-05,7.250941703088741e-05
131,ACAP2,9.65704283050975e-05,9.469117227497841e-05,7.915808902687885e-05,7.298086967738212e-05
132,ACAP3,0.00010228841419158354,0.00011287250546164803,6.374169636500824e-05,7.081218750350643e-05
133,ACAT1,4.8920545917713866e-05,3.000391119171594e-05,7.508984588511954e-05,6.128884404431316e-05
134,ACAT2,4.6252152504020375e-05,4.3612497253594165e-05,6.577934857186638e-05,6.609766103855926e-05
135,ACBD3,2.8844062138496223e-05,1.7712271295900054e-05,2.9904949211816573e-05,4.073350865714351e-05
136,ACBD4,4.612508615098736e-05,5.535143881830438e-05,2.213951993375851e-05,1.8292362683995003e-05
137,ACBD5,4.421909085549201e-05,3.9484823901730806e-05,8.872952127481625e-05,7.816684878882401e-05
138,ACBD6,6.556623816503988e-05,5.518518341497025e-05,5.6062604445855414e-05,5.4594216464088176e-05
139,ACBD7,4.9682944035912e-05,8.926109460874282e-05,5.886645288226289e-05,6.968070115191911e-05
140,ACCS,4.561682073885527e-05,3.292364134052091e-05,5.583266375802437e-05,5.959161451693218e-05
141,ACCSL,4.866641321164782e-05,5.426561800083619e-05,4.4725066762201835e-05,4.431654877050336e-05
142,ACD,5.120774027230828e-05,3.3663464425526586e-05,4.477009266287899e-05,2.3384051266137943e-05
143,ACE,3.2528986376453895e-05,1.927395607414163e-05,2.8590888363804206e-05,3.1493036785847065e-05
144,ACE2,5.3494934626902686e-05,5.725590306047879e-05,6.70722919313217e-05,7.373519391177367e-05
145,ACER1,5.489266451026595e-05,6.589637385467644e-05,6.0363582363146995e-05,5.025685211633679e-05
146,ACER2,4.231309555999666e-05,2.8984345602310854e-05,7.659625367724713e-05,6.298607357169413e-05
147,ACER3,4.002590120540225e-05,3.735471636922459e-05,3.811639517643938e-05,2.1498240680159077e-05
148,ACHE,4.040710026450132e-05,3.145632877319547e-05,3.7196968264131926e-05,4.582519723928645e-05
